API NAME,Permissions,Protection Levels
location.addGnssBatchingCallback,['10148::android.permission.LOCATION_HARDWARE'],['Not for use by third-party applications.']
location.setTestProviderStatus,['EXCEPTION::fuzzer.permission.uidchanger from uid 10148 not allowed to perform MOCK_LOCATION '],[]
location.getProviderProperties,['10148::android.permission.ACCESS_FINE_LOCATION'],['dangerous']
location.getProviders,['10148::android.permission.ACCESS_FINE_LOCATION'],['dangerous']
location.isProviderEnabledForUser,[],[]
location.setTestProviderLocation,['EXCEPTION::com.android.systemui from uid 10148 not allowed to perform MOCK_LOCATION '],[]
location.getGnssCapabilities,['10148::android.permission.LOCATION_HARDWARE'],['Not for use by third-party applications.']
location.injectLocation,['10148::android.permission.LOCATION_HARDWARE'],['Not for use by third-party applications.']
location.getGnssTimeMillis,[],[]
location.removeGnssNavigationMessageListener,[],[]
location.sendNiResponse,['EXCEPTION::calling sendNiResponse from outside of the system is not allowed '],[]
location.getBackgroundThrottlingWhitelist,[],[]
location.isLocationEnabledForUser,[],[]
location.getGnssYearOfHardware,[],[]
location.getLastLocation,['10148::android.permission.ACCESS_FINE_LOCATION'],['dangerous']
location.locationCallbackFinished,[],[]
location.addTestProvider,['EXCEPTION::fuzzer.permission.uidchanger from uid 10148 not allowed to perform MOCK_LOCATION '],[]
location.addGnssNavigationMessageListener,['10148::android.permission.ACCESS_FINE_LOCATION'],['dangerous']
location.getTestProviderCurrentRequests,['EXCEPTION::fuzzer.permission.uidchanger from uid 10148 not allowed to perform MOCK_LOCATION '],[]
location.removeGnssMeasurementsListener,[],[]
location.startGnssBatch,"['10148::android.permission.ACCESS_COARSE_LOCATION', '10148::android.permission.LOCATION_HARDWARE']","['dangerous', 'Not for use by third-party applications.']"
location.setExtraLocationControllerPackage,['10148::android.permission.LOCATION_HARDWARE'],['Not for use by third-party applications.']
location.registerGnssStatusCallback,['10148::android.permission.ACCESS_FINE_LOCATION'],['dangerous']
location.getGnssBatchSize,"['10148::android.permission.ACCESS_FINE_LOCATION', '10148::android.permission.LOCATION_HARDWARE']","['dangerous', 'Not for use by third-party applications.']"
location.getAllProviders,[],[]
location.getIgnoreSettingsWhitelist,[],[]
location.removeUpdates,['EXCEPTION::invalid package name: com.android.systemui '],[]
location.injectGnssMeasurementCorrections,"['10148::android.permission.ACCESS_FINE_LOCATION', '10148::android.permission.LOCATION_HARDWARE']","['dangerous', 'Not for use by third-party applications.']"
location.requestGeofence,['10148::android.permission.ACCESS_COARSE_LOCATION'],['dangerous']
location.sendExtraCommand,['10148::android.permission.ACCESS_COARSE_LOCATION'],['dangerous']
location.getFromLocation,[],[]
location.unregisterGnssStatusCallback,[],[]
location.isProviderPackage,[],[]
location.isExtraLocationControllerPackageEnabled,[],[]
location.removeTestProvider,['EXCEPTION::com.android.systemui from uid 10148 not allowed to perform MOCK_LOCATION '],[]
location.removeGeofence,[],[]
location.addGnssMeasurementsListener,['10148::android.permission.ACCESS_FINE_LOCATION'],['dangerous']
location.getBestProvider,['10148::android.permission.ACCESS_COARSE_LOCATION'],['dangerous']
location.getFromLocationName,[],[]
location.getGnssHardwareModelName,[],[]
location.setExtraLocationControllerPackageEnabled,['10148::android.permission.LOCATION_HARDWARE'],['Not for use by third-party applications.']
location.setTestProviderEnabled,['EXCEPTION::com.android.systemui from uid 10148 not allowed to perform MOCK_LOCATION '],[]
location.geocoderIsPresent,[],[]
location.removeGnssBatchingCallback,[],[]
location.flushGnssBatch,['10148::android.permission.LOCATION_HARDWARE'],['Not for use by third-party applications.']
location.stopGnssBatch,['1001::android.permission.LOCATION_HARDWARE'],['Not for use by third-party applications.']
location.getExtraLocationControllerPackage,[],[]
location.requestLocationUpdates,['EXCEPTION::invalid package name: com.android.systemui '],[]
