API NAME,Permissions,Protection Levels
notification.setNotificationAssistantAccessGrantedForUser,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.createNotificationChannels,[],[]
notification.getNotificationChannelForPackage,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.getAutomaticZenRule,['EXCEPTION::Notification policy access denied '],[]
notification.setNotificationDelegate,[],[]
notification.getConsolidatedNotificationPolicy,[],[]
notification.setAutomaticZenRuleState,[],[]
notification.updateNotificationChannelGroupFromPrivilegedListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.clearData,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.isNotificationAssistantAccessGranted,['EXCEPTION::Calling uid 10148 gave package com.meraki.sm which is owned by uid 10147 '],[]
notification.setZenMode,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.getNotificationChannelGroupsForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.isNotificationListenerAccessGranted,['EXCEPTION::Calling uid 10148 gave package com.meraki.sm which is owned by uid 10147 '],[]
notification.setBubblesAllowed,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.getAppsBypassingDndCount,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.cancelAllNotifications,[],[]
notification.onlyHasDefaultChannel,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.getNotificationDelegate,['EXCEPTION::Calling uid 10148 gave package com.android.systemui which is owned by uid 10110 '],[]
notification.requestBindProvider,['EXCEPTION::Calling uid 10148 gave package com.meraki.sm which is owned by uid 10147 '],[]
notification.getZenModeConfig,['1010148::android.permission.STATUS_BAR_SERVICE'],[]
notification.updateAutomaticZenRule,[],[]
notification.setPrivateNotificationsAllowed,['10148::android.permission.CONTROL_KEYGUARD_SECURE_NOTIFICATIONS'],[]
notification.setNotificationsEnabledForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.applyRestore,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.snoozeNotificationUntilContextFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.getNotificationChannelGroupForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.snoozeNotificationUntilFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.disallowAssistantAdjustment,['EXCEPTION::uid 10148 does not have android.permission.STATUS_BAR_SERVICE. '],[]
notification.getEnabledNotificationListeners,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.requestBindListener,[],[]
notification.areChannelsBypassingDnd,[],[]
notification.setNotificationListenerAccessGranted,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.createNotificationChannelsForPackage,[],[]
notification.cancelNotificationFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.getNotificationChannelGroupsFromPrivilegedListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.clearRequestedListenerHints,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.matchesCallFilter,['EXCEPTION::INotificationManager.matchesCallFilter: uid 10148 does not have android.permission.STATUS_BAR_SERVICE. '],[]
notification.getActiveNotificationsFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.getRuleInstanceCount,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.isNotificationPolicyAccessGrantedForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.cancelNotificationWithTag,[],[]
notification.getAllowedAssistantAdjustments,['EXCEPTION::Calling uid 10148 gave package com.android.systemui which is owned by uid 10110 '],[]
notification.getBlockedAppCount,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.deleteNotificationChannelGroup,[],[]
notification.notifyConditions,['EXCEPTION::Disallowed call from unknown condition provider: android.service.notification.IConditionProvider$Stub$Proxyclass android.service.notification.IConditionProvider$Stub$Proxy '],[]
notification.getNotificationChannel,[],[]
notification.getNotificationChannelsBypassingDnd,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.requestUnbindProvider,['EXCEPTION::Disallowed call from unknown condition provider: android.service.notification.IConditionProvider$Stub$Proxyclass android.service.notification.IConditionProvider$Stub$Proxy '],[]
notification.cancelToast,[],[]
notification.isPackagePaused,[],[]
notification.setNotificationPolicyAccessGranted,['EXCEPTION::Disallowed call for uid 10148 '],[]
notification.getPrivateNotificationsAllowed,['1010148::android.permission.CONTROL_KEYGUARD_SECURE_NOTIFICATIONS'],[]
notification.isNotificationPolicyAccessGranted,['10148::android.permission.MANAGE_NOTIFICATIONS'],[]
notification.updateNotificationChannelFromPrivilegedListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.getSnoozedNotificationsFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.allowAssistantAdjustment,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.applyEnqueuedAdjustmentFromAssistant,['EXCEPTION::Disallowed call from unknown notification assistant: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.getNotificationChannelsFromPrivilegedListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.enqueueNotificationWithTag,[],[]
notification.getPackageImportance,['EXCEPTION::Calling uid 10148 gave package com.android.systemui which is owned by uid 10110 '],[]
notification.getDeletedChannelCount,[],[]
notification.getNotificationChannelsForPackage,['10148::android.permission.STATUS_BAR_SERVICE'],[]
notification.setNotificationsShownFromListener,['EXCEPTION::Disallowed call from unknown notification listener: android.service.notification.INotificationListener$Stub$Proxyclass android.service.notification.INotificationListener$Stub$Proxy '],[]
notification.setNotificationPolicy,['10148::android.permission.MANAGE_NOTIFICATIONS'],[]
