API NAME,Permissions,Protection Levels
telephony.registry.notifyCallForwardingChanged,['1010148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyPreciseCallState,"['10148::android.permission.INTERACT_ACROSS_USERS_FULL', '10148::android.permission.MODIFY_PHONE_STATE']",['Not for use by third-party applications.']
telephony.registry.notifyUserMobileDataStateChangedForPhoneId,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.addOnSubscriptionsChangedListener,['EXCEPTION::Package com.android.systemui does not belong to 10148 '],[]
telephony.registry.notifyEmergencyNumberList,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyRadioPowerStateChanged,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyOtaspChanged,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyCellInfo,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyPhoneCapabilityChanged,[],[]
telephony.registry.notifyServiceStateForPhoneId,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyOemHookRawEventForSubscriber,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyCallState,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.addOnOpportunisticSubscriptionsChangedListener,[],[]
telephony.registry.notifyCallQualityChanged,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyDataActivity,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyDisconnectCause,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifySrvccStateChanged,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifySimActivationStateChangedForPhoneId,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyMessageWaitingChangedForPhoneId,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyImsDisconnectCause,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyCellLocationForSubscriber,['1010148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyDataActivityForSubscriber,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.removeOnSubscriptionsChangedListener,[],[]
telephony.registry.notifyActiveDataSubIdChanged,[],[]
telephony.registry.notifyDataConnectionFailedForSubscriber,"['10148::android.permission.BROADCAST_STICKY', '10148::android.permission.INTERACT_ACROSS_USERS_FULL', '10148::android.permission.MODIFY_PHONE_STATE']","['normal', 'Not for use by third-party applications.']"
telephony.registry.notifyDataConnectionForSubscriber,"['10148::android.permission.INTERACT_ACROSS_USERS', '10148::android.permission.MODIFY_PHONE_STATE']",['Not for use by third-party applications.']
telephony.registry.notifyCallStateForPhoneId,"['10148::android.permission.INTERACT_ACROSS_USERS_FULL', '10148::android.permission.MODIFY_PHONE_STATE']",['Not for use by third-party applications.']
telephony.registry.notifyDataConnectionFailed,"['10148::android.permission.BROADCAST_STICKY', '10148::android.permission.INTERACT_ACROSS_USERS', '10148::android.permission.MODIFY_PHONE_STATE']","['normal', 'Not for use by third-party applications.']"
telephony.registry.notifyDataConnection,"['10148::android.permission.BROADCAST_STICKY', '10148::android.permission.INTERACT_ACROSS_USERS_FULL', '10148::android.permission.MODIFY_PHONE_STATE']","['normal', 'Not for use by third-party applications.']"
telephony.registry.notifyOpportunisticSubscriptionInfoChanged,[],[]
telephony.registry.notifyPreciseDataConnectionFailed,"['10148::android.permission.INTERACT_ACROSS_USERS_FULL', '10148::android.permission.MODIFY_PHONE_STATE']",['Not for use by third-party applications.']
telephony.registry.notifySignalStrengthForPhoneId,"['10148::android.permission.BROADCAST_STICKY', '10148::android.permission.INTERACT_ACROSS_USERS_FULL', '10148::android.permission.MODIFY_PHONE_STATE']","['normal', 'Not for use by third-party applications.']"
telephony.registry.notifyPhysicalChannelConfigurationForSubscriber,['1010148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.listen,[],[]
telephony.registry.listenForSubscriber,[],[]
telephony.registry.notifyCarrierNetworkChange,['EXCEPTION::notifyCarrierNetworkChange without carrier privilege '],[]
telephony.registry.notifySubscriptionInfoChanged,[],[]
telephony.registry.notifyCallForwardingChangedForSubscriber,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyCellInfoForSubscriber,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyPhysicalChannelConfiguration,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
telephony.registry.notifyCellLocation,['10148::android.permission.MODIFY_PHONE_STATE'],['Not for use by third-party applications.']
